RADICAL: OH,,,,,,,,,,,,,,
QUANTITY: HONL-LONDON,,,,,,,,,,,,,,
UNITS   :No units,,,,,,,,,,,,,,
BAND  (A-X)1 - 0 ,,,,,,,,,,,,,,
1,1.177,0,1.124,0.667,0.331,0.333,0,0.333,0.667,0.492,0.782,0.094,,2
2,1.592,0.551,2.127,1.375,0.768,0.706,0.156,0.469,0.743,0.64,0.724,0.149,,4
3,2.063,1.075,3.16,2.274,1.26,1.137,0.209,0.518,0.788,0.678,0.666,0.173,,6.0005
4,2.558,1.619,4.213,3.258,1.776,1.604,0.223,0.519,0.777,0.666,0.607,0.18,,8
5,3.063,2.169,5.27,4.282,2.302,2.092,0.221,0.498,0.738,0.635,0.552,0.177,,9.9995
6,3.572,2.719,6.326,5.321,2.831,2.591,0.211,0.468,0.69,0.597,0.503,0.171,,12
7,4.083,3.265,7.377,6.365,3.359,3.095,0.198,0.437,0.64,0.559,0.46,0.162,,14
8,4.593,3.805,8.423,7.407,3.885,3.601,0.185,0.408,0.594,0.523,0.423,0.154,,16.0005
9,5.102,4.34,9.463,8.446,4.408,4.108,0.174,0.38,0.553,0.49,0.391,0.146,,18.0005
10,5.61,4.87,10.498,9.481,4.929,4.615,0.163,0.356,0.516,0.461,0.364,0.139,,20.001
11,6.118,5.395,11.528,10.512,5.447,5.121,0.153,0.335,0.484,0.436,0.34,0.132,,22.0005
12,6.624,5.918,12.554,11.539,5.963,5.626,0.145,0.316,0.456,0.413,0.32,0.126,,24
13,7.129,6.437,13.577,12.563,6.477,6.131,0.138,0.299,0.432,0.394,0.303,0.121,,26.0005
14,7.634,6.953,14.596,13.583,6.989,6.636,0.132,0.285,0.411,0.377,0.288,0.116,,28
15,8.138,7.467,15.612,14.6,7.499,7.139,0.127,0.273,0.394,0.363,0.275,0.113,,30
16,8.641,7.979,16.626,15.615,8.008,7.642,0.123,0.262,0.379,0.351,0.264,0.11,,32
17,9.143,8.489,17.637,16.626,8.515,8.144,0.12,0.254,0.368,0.342,0.255,0.108,,34.0005
18,9.645,8.996,18.645,17.635,9.021,8.645,0.118,0.247,0.358,0.334,0.248,0.106,,35.999
19,10.145,9.502,19.652,18.642,9.525,9.146,0.117,0.241,0.352,0.33,0.243,0.106,,38.0005
20,10.645,10.006,20.655,19.646,10.028,9.645,0.116,0.238,0.348,0.327,0.239,0.106,,39.9995
21,11.144,10.509,21.656,20.647,10.529,10.144,0.117,0.236,0.347,0.327,0.237,0.107,,42
22,11.641,11.009,22.654,21.646,11.029,10.642,0.119,0.235,0.349,0.33,0.236,0.109,,43.9995
23,12.138,11.508,23.65,22.641,11.527,11.138,0.122,0.237,0.353,0.335,0.238,0.113,,46
24,12.634,12.005,24.643,23.634,12.024,11.634,0.126,0.24,0.361,0.343,0.241,0.117,,48.001
25,13.128,12.5,25.632,24.623,12.518,12.128,0.132,0.245,0.372,0.354,0.246,0.122,,50
26,13.621,12.993,26.618,25.609,13.011,12.621,0.139,0.252,0.386,0.368,0.253,0.129,,52
27,14.112,13.484,27.601,26.592,13.502,13.112,0.147,0.261,0.404,0.386,0.262,0.138,,54.0005
28,14.602,13.973,28.58,27.57,13.991,13.602,0.158,0.272,0.425,0.408,0.273,0.148,,56.001
29,15.09,14.459,29.555,28.545,14.477,14.09,0.17,0.285,0.451,0.433,0.286,0.159,,58
30,15.576,14.943,30.525,29.515,14.962,14.576,0.184,0.301,0.481,0.463,0.302,0.173,,60.0005
31,16.06,15.424,31.491,30.481,15.443,15.06,0.2,0.319,0.516,0.497,0.32,0.188,,61.9995
32,16.541,15.903,32.453,31.441,15.923,15.542,0.219,0.34,0.555,0.536,0.341,0.206,,64
33,17.021,16.379,33.409,32.397,16.4,16.021,0.239,0.364,0.6,0.58,0.365,0.226,,66.0005
34,17.498,16.852,34.36,33.347,16.873,16.498,0.263,0.39,0.649,0.629,0.391,0.249,,67.9995
35,17.972,17.322,35.306,34.292,17.345,16.973,0.289,0.419,0.705,0.684,0.42,0.274,,70.0005
36,18.443,17.789,36.245,35.231,17.813,17.444,0.318,0.451,0.766,0.744,0.453,0.302,,71.9995
37,18.912,18.253,37.179,36.164,18.278,17.913,0.35,0.487,0.834,0.811,0.488,0.333,,74.001
38,19.377,18.714,38.107,37.09,18.74,18.379,0.385,0.525,0.907,0.883,0.527,0.366,,76
